Inicio_Faena;Inicio_Venta;Embarcacion;Marca_Motor;Modelo_Motor;Caballos_Motor;Origen;Origen_Latitud;Origen_Longuitud;Millas_Recorridas;Especie;Aparejo;Volumen_Kg;Talla_cm;Precio_Kg;Venta;Precio_Galon;Costo_Combustible;Ganancia
03 03 2020 08:11;03 03 2020 08:36;MI PAUL;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;CHIRI;CORTINA;60.00;16.00;3.00;48.00;5.51;0.362242427;47.64
03 03 2020 08:43;03 03 2020 08:58;NANCY;PANTHER;PANTHER 190F;10;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;30.00;26.00;3.00;78.00;5.51;0.361700689;77.64
03 03 2020 09:33;03 03 2020 09:58;JEREMIAS;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;26.00;3.00;78.00;5.51;0.362784165;77.64
03 03 2020 09:55;03 03 2020 10:15;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;26.00;3.00;78.00;5.51;0.362784165;77.64
03 03 2020 10:00;03 03 2020 10:20;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;120.00;26.00;3.00;78.00;5.51;0.363325904;77.64
03 03 2020 10:20;03 03 2020 10:40;EL NEGRO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;60.00;26.00;3.00;78.00;5.51;0.362242427;77.64
03 03 2020 09:55;03 03 2020 10:15;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;60.00;24.00;2.00;48.00;5.51;0.362242427;47.64
03 03 2020 10:00;03 03 2020 10:20;REY DE REYES;YAMAHA;YAMAHA E25DMH;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;60.00;24.00;2.00;48.00;5.51;0.362242427;47.64
03 03 2020 10:20;03 03 2020 10:40;EL NEGRO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;24.00;2.00;48.00;5.51;0.363325904;47.64
04 03 2020 07:55;04 03 2020 08:10;NANCY;PANTHER;PANTHER 190F;10;LA PAMPA;-9.02;-78.63;1.31;CABRILLA;CORTINA;60.00;37.00;24.00;888.00;5.51;0.362242427;887.64
04 03 2020 08:50;04 03 2020 09:10;ARIANITA;BRIGGS STRATTON;BRIGGS STRATTON ZETA;16;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;37.00;3.00;111.00;5.51;0.362784165;110.64
04 03 2020 10:00;04 03 2020 10:20;TATIANA;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LISA;CORTINA;90.00;37.00;3.00;111.00;5.51;0.362784165;110.64
04 03 2020 09:28;04 03 2020 09:48;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;29.00;2.00;58.00;5.51;0.362784165;57.64
04 03 2020 09:28;04 03 2020 09:48;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;90.00;29.00;2.00;58.00;5.51;0.362784165;57.64
04 03 2020 10:00;04 03 2020 10:20;TATIANA;YAMAHA;YAMAHA E15DMH;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORTINA;120.00;29.00;2.00;58.00;5.51;0.363325904;57.64
05 03 2020 12:27;05 03 2020 12:45;MI ROSITA;PARSUN;PARSUN T15BM;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
05 03 2020 13:10;05 03 2020 13:25;LUIS ALEXANDER;TOYOTA;TOYOTA;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
05 03 2020 13:30;05 03 2020 13:50;JUAN PEDRO;NISSAN;NISSAN LD;25;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
05 03 2020 14:10;05 03 2020 14:25;EL MOCHO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
06 03 2020 12:50;06 03 2020 13:10;NATANIEL;PANTHER;PANTHER 190F;10;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
06 03 2020 13:35;06 03 2020 13:50;EL MOCHO;YAMAHA;YAMAHA E15DMH;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
06 03 2020 14:05;06 03 2020 14:20;LUIS ALEXANDER;TOYOTA;TOYOTA;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
06 03 2020 14:35;06 03 2020 14:55;JUAN PEDRO;NISSAN;NISSAN LD;25;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;24.00;2.00;48.00;5.51;1.204535188;46.80
07 03 2020 12:12;07 03 2020 12:30;MI ROSITA;PARSUN;PARSUN T15BM;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;60.00;25.00;2.00;50.00;5.51;1.204535188;48.80
07 03 2020 12:55;07 03 2020 13:10;LUIS ALEXANDER;TOYOTA;TOYOTA;15;MOÑAQUE;-9.00;-78.65;4.36;LORNA;CORDEL;90.00;25.00;2.00;50.00;5.51;1.206336587;48.79
09 03 2020 16:30;09 03 2020 16:50;KARIN 2;YANMAR;YANMAR BTD22;22;LA VIUDA;-8.97;-78.65;7.95;LISA;CORTINA;240.00;38.00;3.00;114.00;5.51;2.217394083;111.78
09 03 2020 17:12;09 03 2020 17:30;IKER;YAMAHA;YAMAHA E15DMH;15;LA VIUDA;-8.97;-78.65;7.95;LISA;CORTINA;360.00;36.00;3.00;108.00;5.51;2.230540688;105.77
09 03 2020 18:00;09 03 2020 18:20;ROCA;NISSAN;NISSAN LD;25;LA VIUDA;-8.97;-78.65;7.95;LISA;CORTINA;240.00;36.00;3.00;108.00;5.51;2.217394083;105.78
09 03 2020 18:40;09 03 2020 19:00;LUCHITO;YAMAHA;YAMAHA E15DMH;15;LA VIUDA;-8.97;-78.65;7.95;LISA;CORTINA;240.00;36.00;3.00;108.00;5.51;2.217394083;105.78
09 03 2020 21:45;09 03 2020 22:00;PEDRO;JOHN DEERE;JOHN DEERE 4045TFM50;120;LA VIUDA;-8.97;-78.65;7.95;LISA;CORTINA;360.00;36.00;3.00;108.00;5.51;2.230540688;105.77
09 03 2020 11:50;09 03 2020 12:05;LUIS ALEXANDER;TOYOTA;TOYOTA;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORDEL;60.00;25.00;2.00;50.00;5.51;0.362242427;49.64
09 03 2020 11:55;09 03 2020 12:15;JUAN PEDRO;NISSAN;NISSAN LD;25;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORDEL;90.00;24.00;2.00;48.00;5.51;0.362784165;47.64
09 03 2020 12:52;09 03 2020 13:10;MI ROSITA;PARSUN;PARSUN T15BM;15;LA PAMPA;-9.02;-78.63;1.31;LORNA;CORDEL;90.00;24.00;2.00;48.00;5.51;0.362784165;47.64
